company_name,base_url,people_url,source,is_teamtailor,has_people_page,checked_at
Opply 1682428990,https://opply-1682428990.teamtailor.com,,commoncrawl,,,2026-04-01 11:04 UTC
Bluewatergroup,https://bluewatergroup.teamtailor.com,,commoncrawl,,,2026-04-01 11:04 UTC
Sgroupsolutions,https://sgroupsolutions.teamtailor.com,,commoncrawl,,,2026-04-01 11:04 UTC
Porkkanajakeppioy,https://porkkanajakeppioy.teamtailor.com,,commoncrawl,,,2026-04-01 11:04 UTC
Mrwonderfuljobs,https://mrwonderfuljobs.teamtailor.com,,commoncrawl,,,2026-04-01 11:04 UTC
Foodtel,https://foodtel.teamtailor.com,,commoncrawl,,,2026-04-01 11:04 UTC
Gecf,https://gecf.teamtailor.com,,commoncrawl,,,2026-04-01 11:04 UTC
Sproud,https://sproud.teamtailor.com,,commoncrawl,,,2026-04-01 11:04 UTC
Loomisnorge,https://loomisnorge.teamtailor.com,,commoncrawl,,,2026-04-01 11:04 UTC
Lmfrancewkd 1732110446,https://lmfrancewkd-1732110446.teamtailor.com,,commoncrawl,,,2026-04-01 11:04 UTC
Centigo,https://centigo.teamtailor.com,,commoncrawl,,,2026-04-01 11:04 UTC
Smartestenergy,https://smartestenergy.teamtailor.com,,commoncrawl,,,2026-04-01 11:04 UTC
Qubitpharmaceuticals,https://qubitpharmaceuticals.teamtailor.com,,commoncrawl,,,2026-04-01 11:04 UTC
Yogiboost2021,https://yogiboost2021.teamtailor.com,,commoncrawl,,,2026-04-01 11:04 UTC
Sushiyama 1604907184,https://sushiyama-1604907184.teamtailor.com,,commoncrawl,,,2026-04-01 11:04 UTC
Ogilvyparis,https://ogilvyparis.teamtailor.com,,commoncrawl,,,2026-04-01 11:04 UTC
Regate,https://regate.teamtailor.com,,commoncrawl,,,2026-04-01 11:04 UTC
Hirschbednerassociates,https://hirschbednerassociates.teamtailor.com,,commoncrawl,,,2026-04-01 11:04 UTC
Iqm,https://iqm.teamtailor.com,,commoncrawl,,,2026-04-01 11:04 UTC
