company_name,company_url,person_id,name,title,department,linkedin_url,bio,image_url,profile_url
Nudge 1724058604,https://nudge-1724058604.teamtailor.com,3563875,Nicola Di Palma,Product Owner,Product,https://www.linkedin.com/products/nudge-global-ltd-nudge-global/,,https://images.teamtailor-cdn.com/images/s3/teamtailor-production/square_226-v4/image_uploads/d4075287-6947-4c91-9efe-60188f0f096c/original.jpeg,https://careers.nudge-global.com/people/3563875-nicola-di-palma
Nudge 1724058604,https://nudge-1724058604.teamtailor.com,3563883,Robyn Hyde,Chief Product Officer,Product,https://www.linkedin.com/products/nudge-global-ltd-nudge-global/,,https://images.teamtailor-cdn.com/images/s3/teamtailor-production/square_226-v4/image_uploads/05d2d112-d0dd-4fe5-a1ac-078f8c4b898d/original.jpeg,https://careers.nudge-global.com/people/3563883-robyn-hyde
Nudge 1724058604,https://nudge-1724058604.teamtailor.com,3000246,Christine Patterson,Delivery Manager,Professional Services,https://www.linkedin.com/products/nudge-global-ltd-nudge-global/,,https://images.teamtailor-cdn.com/images/s3/teamtailor-production/square_226-v4/image_uploads/f474e677-eeb6-4bf1-aa79-0e54c9d3c870/original.jpeg,https://careers.nudge-global.com/people/3000246-christine-patterson
Nudge 1724058604,https://nudge-1724058604.teamtailor.com,3565323,Cyrus Zaq,Senior Consultant,Professional Services,https://www.linkedin.com/products/nudge-global-ltd-nudge-global/,,https://images.teamtailor-cdn.com/images/s3/teamtailor-production/square_226-v4/image_uploads/bef0b084-d4b0-4f0f-9afe-a994b0f65869/original.jpeg,https://careers.nudge-global.com/people/3565323-cyrus-zaq
Nudge 1724058604,https://nudge-1724058604.teamtailor.com,3000247,Davina Patel,Senior Consultant,Professional Services,https://www.linkedin.com/products/nudge-global-ltd-nudge-global/,,https://images.teamtailor-cdn.com/images/s3/teamtailor-production/square_226-v4/image_uploads/5a63be8b-f595-4202-af5b-5756062a9dcc/original.jpeg,https://careers.nudge-global.com/people/3000247-davina-patel
Nudge 1724058604,https://nudge-1724058604.teamtailor.com,3565356,Divin Kamath,Consultant,Professional Services,https://www.linkedin.com/products/nudge-global-ltd-nudge-global/,,https://images.teamtailor-cdn.com/images/s3/teamtailor-production/square_226-v4/image_uploads/4fb08356-c0a3-4a32-a121-803420bd4285/original.jpeg,https://careers.nudge-global.com/people/3565356-divin-kamath
Nudge 1724058604,https://nudge-1724058604.teamtailor.com,3565295,Jacob Grumley,Data Analyst,Professional Services,https://www.linkedin.com/products/nudge-global-ltd-nudge-global/,,https://images.teamtailor-cdn.com/images/s3/teamtailor-production/square_226-v4/image_uploads/f1bb3114-a372-40a4-bc36-6cea1ee8ad36/original.jpeg,https://careers.nudge-global.com/people/3565295-jacob-grumley
Nudge 1724058604,https://nudge-1724058604.teamtailor.com,3565293,Katie Anderson,Administration Specialist,Professional Services,https://www.linkedin.com/products/nudge-global-ltd-nudge-global/,,https://images.teamtailor-cdn.com/images/s3/teamtailor-production/square_226-v4/image_uploads/e31f66d0-8d13-4533-980a-8f8058e69434/original.jpeg,https://careers.nudge-global.com/people/3565293-katie-anderson
Nudge 1724058604,https://nudge-1724058604.teamtailor.com,3565290,Laura Garnett,Senior Consultant,Professional Services,https://www.linkedin.com/products/nudge-global-ltd-nudge-global/,,https://images.teamtailor-cdn.com/images/s3/teamtailor-production/square_226-v4/image_uploads/87d10161-dbe4-47c7-9915-6b4c61a07ab7/original.jpeg,https://careers.nudge-global.com/people/3565290-laura-garnett
Nudge 1724058604,https://nudge-1724058604.teamtailor.com,3565287,Laura Malde,Senior Consultant,Professional Services,https://www.linkedin.com/products/nudge-global-ltd-nudge-global/,,https://images.teamtailor-cdn.com/images/s3/teamtailor-production/square_226-v4/image_uploads/d7a45136-5096-4fce-a068-f502b33edb37/original.jpeg,https://careers.nudge-global.com/people/3565287-laura-malde
